Best Amenity Scored,lat,lon,amenity,name,distance
356,49.279574,-123.1228171,restaurant,El Furniture Warehouse - Granville,344.349747076565
357,49.2791309,-123.1234758,restaurant,The Dime,379.0328384257493
358,49.2797512,-123.1235262,restaurant,Johnny Rockets,310.49195007158374
359,49.2808952,-123.130541,bicycle_rental,Thurlow & Pendrell,519.1835401415193
360,49.2880327,-123.1236171,fast_food,A&W,618.6288368295318
361,49.2881797,-123.1171247,restaurant,Botanist,845.5950964858624
362,49.2873114,-123.1171281,restaurant,Elephant & Castle,775.8107256532396
363,49.2837118,-123.1135835,restaurant,Cartems Donuterie,848.8415135886123
364,49.2840399,-123.1235612,cafe,Starbucks,181.76426840110412
365,49.2786686,-123.1282908,restaurant,Sushi Mugen,527.1751230926151
366,49.286095,-123.1132237,bicycle_rental,Cordova & Granville,954.318156077129
367,49.2874102,-123.1175261,restaurant,Nightingale,761.4785532031539
368,49.2838402,-123.1138503,pub,Browns Crafthouse,830.7187569980608
369,49.2807293,-123.1323456,bar,The Junction,658.8156367838246
370,49.2862497,-123.1190687,bank,National Bank,584.876402849713
371,49.275649,-123.1170024,bicycle_rental,Beatty & Nelson,950.876557564868
372,49.2801341,-123.118169,fast_food,Falafel King,546.2668805525714
373,49.2794999,-123.1172314,fast_food,Hubbub,644.9643711107747
374,49.2802404,-123.1183332,fast_food,Curry Fusion,529.350085216413
375,49.2801999,-123.1182707,fast_food,Japadog,535.7871926044378
376,49.2801622,-123.1182125,fast_food,Viet Sub,541.7852193072357
377,49.2798631,-123.1177806,fast_food,Chopped Leaf,587.484581508183
378,49.2873965,-123.1143665,fast_food,McDonald's,949.1665657121267
379,49.284463099999996,-123.1134341,cafe,Starbucks,877.4567392634011
380,49.2850471,-123.1120652,cafe,Tim Hortons,997.9833866605989
381,49.2842402,-123.1175601,fast_food,halal arabic food stand,561.7667455574309
382,49.2831011,-123.1171034,fast_food,Mr Shawarma,566.7714230072404
383,49.2852994,-123.1201643,fast_food,Mr Shawarma,449.61427656441896
